

Idaho (PST) SNOTEL Site Banner Summit - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Sep 01 13:11:21 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
312,2020-10-01,,     0.0,     0.0,     4.3,    23.4,     0.4,    10.0,       0,
312,2020-10-02,,     0.0,     0.0,     5.0,    22.8,     1.5,    10.1,       0,
312,2020-10-03,,     0.0,     0.0,     4.5,    20.3,     1.8,     8.8,       0,
312,2020-10-04,,     0.0,     0.0,     3.0,    22.4,     0.6,     9.3,       0,
312,2020-10-05,,     0.0,     0.0,     1.6,    22.1,     1.0,     9.3,       0,
312,2020-10-06,,     0.0,     0.0,     2.7,    21.3,    -0.7,     8.6,       0,
312,2020-10-07,,     0.0,     0.0,     3.8,    23.1,     0.7,     9.5,       0,
312,2020-10-08,,     0.0,     0.0,     2.5,    20.5,     0.5,     8.4,       0,
312,2020-10-09,,     0.0,     0.0,     1.1,    19.1,    -0.4,     7.5,       0,
312,2020-10-10,,     0.0,     0.0,     1.0,    19.2,    -1.0,     6.9,       0,
312,2020-10-11,,     0.2,     0.9,     0.7,    13.0,    -1.4,     3.3,       1,
312,2020-10-12,,     0.4,     1.1,     1.7,     5.2,    -1.5,     0.8,       2,
312,2020-10-13,,     0.3,     1.3,    -1.3,     7.6,    -1.3,     2.8,       1,
312,2020-10-14,,     0.2,     2.1,     3.5,     6.5,    -1.6,     4.1,       1,
312,2020-10-15,,     0.2,     2.1,    -3.2,     6.9,    -3.2,     1.8,       1,
312,2020-10-16,,     0.2,     2.1,    -3.6,     7.5,    -4.9,     0.0,       1,
312,2020-10-17,,     0.2,     2.1,     7.2,    12.5,    -4.1,     5.0,       1,
312,2020-10-18,,     0.2,     2.1,     1.9,    11.7,     1.9,     6.8,       1,
312,2020-10-19,,     0.2,     2.1,     4.5,     9.2,     1.1,     5.4,       1,
312,2020-10-20,,     0.0,     2.1,     6.5,    12.2,     4.3,     6.7,       0,
312,2020-10-21,,     0.0,     2.1,     3.3,    11.9,     2.5,     5.8,       0,
312,2020-10-22,,     0.0,     2.1,    -4.6,     6.6,    -5.0,     1.9,       0,
