condition,round,real_r,real_rmse,mean_snowdepth,fcf_mean,dry_percentage,valid-sd,optimized_r,optimized_rmse,random_r,random_rmse,fischerz
Little Cottonwood 2021,0,0.5397881461260304,1.065947341300313,1.8054004907608032,0.23052178899082565,0.7261554002761841,3339.0,0.5519760555530163,1.608991406945628,,,
fcf_s1_random,0,,,,,,,,,0.5068168209749334,1.6923183582307701,0.00875432982687352
fcf_s1_random,1,,,,,,,,,-0.01665914525460118,1.8134098799680372,0.0
fcf_s1_random,2,,,,,,,,,-0.20322399305969246,1.8358427285043437,0.0
fcf_s1_random,3,,,,,,,,,0.20763376541633283,1.8181022886473426,0.0
fcf_s1_random,4,,,,,,,,,0.015551299695534005,1.8031361594356659,0.0
fcf_s1_random,5,,,,,,,,,0.008579663034547132,1.819913679079325,0.0
fcf_s1_random,6,,,,,,,,,0.4554761539377864,1.7888391852328471,3.832858808117123e-08
fcf_s1_random,7,,,,,,,,,0.35139440112564835,1.7644334075562647,0.0
fcf_s1_random,8,,,,,,,,,0.2466942861112605,1.7347118650738562,0.0
fcf_s1_random,9,,,,,,,,,0.0024862818871998257,1.77524689425077,0.0
fcf_s1_random,10,,,,,,,,,0.022732106158312147,1.8262451912365958,0.0
fcf_s1_random,11,,,,,,,,,0.4273497722189573,1.753008230639333,0.0
fcf_s1_random,12,,,,,,,,,0.06163472635083801,1.8287779597701654,0.0
fcf_s1_random,13,,,,,,,,,0.006083839963400893,1.8301181991093418,0.0
fcf_s1_random,14,,,,,,,,,0.418543731369725,1.8184657663422765,0.0
fcf_s1_random,15,,,,,,,,,0.2325967962891318,1.8195506142621938,0.0
fcf_s1_random,16,,,,,,,,,0.40551945114139665,1.813253655744953,0.0
fcf_s1_random,17,,,,,,,,,0.15829764177824862,1.8174585031537733,0.0
fcf_s1_random,18,,,,,,,,,0.4702787894525687,1.7472992300290935,1.6531073177006306e-08
fcf_s1_random,19,,,,,,,,,0.3103482659464323,1.7284720719176092,0.0
fcf_s1_random,20,,,,,,,,,0.01474302189578297,1.8184200191020008,0.0
fcf_s1_random,21,,,,,,,,,0.3761046627376721,1.8071770286115088,0.0
fcf_s1_random,22,,,,,,,,,0.24026318753976889,1.665060711216403,0.0
fcf_s1_random,23,,,,,,,,,-0.18239875658096516,1.816949922790645,0.0
fcf_s1_random,24,,,,,,,,,0.4420193900205165,1.795005001992564,2.760014439218139e-12
fcf_s1_random,25,,,,,,,,,0.32859504588499244,1.778262121890861,0.0
fcf_s1_random,26,,,,,,,,,0.38998634415721045,1.8215549035542073,0.0
fcf_s1_random,27,,,,,,,,,0.4960044586301669,1.6728300171559165,0.01410315577486676
fcf_s1_random,28,,,,,,,,,0.3846569232030252,1.60545328394727,0.0
fcf_s1_random,29,,,,,,,,,0.16524729359767817,1.6382184674545992,0.0
fcf_s1_random,30,,,,,,,,,0.28996296892715134,1.8212945010089392,0.0
fcf_s1_random,31,,,,,,,,,0.46141371796814756,1.6264749394325906,2.685615130282315e-08
fcf_s1_random,32,,,,,,,,,0.33871358569360327,1.747754621048386,0.0
fcf_s1_random,33,,,,,,,,,0.33174126218256955,1.7685217111058686,0.0
fcf_s1_random,34,,,,,,,,,0.5092162589306508,1.7441591563412011,0.038783153156058736
fcf_s1_random,35,,,,,,,,,0.3367274535229409,1.8224427694186036,0.0
fcf_s1_random,36,,,,,,,,,0.27866947863008834,1.7645592960627698,0.0
