,random_r,random_rmse,fischerz,real_r,real_rmse
Mores 2020,0.1692848776320921,1.6561650007591338,1.4640565693113672e-07,0.08426767662873491,1.0739974121237865
Fraser 2021,0.19451562045230367,0.8493823002199593,0.4372577181765318,0.18382002487927696,0.6541369851067282
Dry Creek 2020,0.10859976868086813,0.9330820270420856,5.912159650733884e-12,0.20510866035642356,0.7382410700288716
Banner 2021,0.2588854712923709,1.4093866713051473,0.0,0.41537871427426587,0.8915869451365991
Little Cottonwood 2021,0.4844816560895624,1.6458341401174406,0.0002487986498820316,0.5397881461260303,1.065947341300313
Mores 2021,-0.12259773187446274,1.5651514293004098,0.0,0.39756464003682557,0.9145271045588742
Banner 2020,0.4556990249236749,1.2934732447825708,0.0,0.40022758224160293,0.9950183007831572
Fraser 2020,0.3909386521035654,1.0627829838412708,0.14734131524240146,0.38149097946780053,0.9250319335954182
Cameron 2021,-0.007984882311162279,1.1861309115405598,0.11516312005479512,0.015191728832118374,1.0666044459623203
All Sites,0.3528395096552528,1.3113900875594222,0.0,0.4589385524845403,0.9214371892102124
