,real_r-0,real_rmse-0,mean_snowdepth,fcf_mean,dry_percentage,random_r-0,random_rmse-0,fischerz-0,random_r-1,random_rmse-1,fischerz-1,random_r-2,random_rmse-2,fischerz-2,real_r-2,real_rmse-2
Mores 2020,0.08426767662873491,1.0739974121237865,1.7877546548843384,0.4862625850340136,0.5741770267486572,,,,,,,,,,,
Mores 2020-all_random,,,,,,0.017578273276065627,1.7907793564677141,0.00013993251191646294,0.18823524824300733,1.7363402678263604,7.163003523658062e-11,0.04073849663213687,1.7522203560344125,0.007960195943795823,,
Mores 2020-s1_ims_random,,,,,,0.2908573349679167,1.667685856364549,0.0,0.20122891487600356,1.7267627808462176,2.7711166694643907e-13,-0.12152343682092154,1.7579751157162387,0.0,,
Mores 2020-s1_random,,,,,,0.2515630600906061,1.750807410197011,0.0,0.19353464244404217,1.7433480113872017,3.47499806707674e-13,0.11870503553989188,1.7404377390370458,0.04473618654031708,,
Fraser 2021,,,0.862987756729126,0.6578191919191919,0.9648035168647766,,,,,,,,,,0.18382002487927696,0.6541369851067282
Fraser 2021-all_random,,,,,,0.06635376519265498,0.8629718196175449,0.0,0.11383155026321203,0.8328175989787426,4.990815094529921e-09,-0.11383421661283381,0.8690190086596763,0.0,,
Fraser 2021-s1_ims_random,,,,,,0.20270628665098436,0.8544137151392087,0.01914578941415246,0.14560746212460737,0.8748415560869871,0.001424650566946184,0.1530221188841116,0.8874377504586083,0.0044223999852797125,,
Fraser 2021-s1_random,,,,,,0.2909164895688571,0.8860287966332995,0.0,0.1443165554689167,0.8695610923999942,0.0028490550727700015,0.14584075525526943,0.8635817799178853,0.00031352982565024945,,
Dry Creek 2020,,,1.0480892658233643,0.5988861327663596,0.7546440362930298,,,,,,,,,,0.20510866035642356,0.7382410700288716
Dry Creek 2020-all_random,,,,,,,1.1145107189019647,,0.031178077175693732,1.115630012839396,0.0,0.2570653060984351,1.0496473291307247,0.000649697648407388,,
Dry Creek 2020-s1_ims_random,,,,,,0.07878097889185935,1.0195857240199877,2.220446049250313e-16,0.2502750698328087,0.9426390517025128,0.028053207515700285,0.15707475126795348,1.083732619728048,0.0015030861684715013,,
Dry Creek 2020-s1_random,,,,,,0.12442162840816663,1.0886854426277481,4.1858982946507695e-10,,,,,,,,
