,random_r,random_rmse,fischerz,real_r,real_rmse
Mores 2020,0.177073620113202,1.610876050402742,1.020124136275058e-07,0.0842676766287349,1.0739974121237863
Fraser 2021,0.0604518244828267,0.8302505158239056,0.0,0.1838200248792769,0.6541369851067282
Dry Creek 2020,0.0522653772103796,0.9997988414481715,0.0,0.2051086603564235,0.7382410700288716
Banner 2021,0.0468273555428885,1.3315897432461123,0.0,0.4153787142742658,0.8915869451365991
Little Cottonwood 2021,0.0026431843454355,1.686146846368697,0.0,0.5397881461260303,1.065947341300313
Mores 2021,0.0328960963526966,1.3301945231978167,0.0,0.3975646400368255,0.9145271045588742
Banner 2020,0.199068700215143,1.4061905432470834,0.0,0.4002275822416029,0.9950183007831572
Fraser 2020,0.13938658262704187,1.0673424974815535,0.0,0.38149097946780053,0.9250319335954182
Cameron 2021,0.04881807811389463,1.1485135242954527,0.022099054819275876,0.015191728832118374,1.0666044459623203
All Sites,0.2880090626382221,1.0981397436668636,0.0378390945275735,0.290101169653327,0.9815270917914398
