,random_r,random_rmse,fischerz,real_r,real_rmse
Mores 2020,0.27070920270979837,1.6307429678906264,0.0,0.08426767662873491,1.0739974121237865
Fraser 2021,0.0979888028846272,0.8243901673082379,5.186428079895222e-06,0.18382002487927696,0.6541369851067282
Dry Creek 2020,0.03527084853879007,0.923932264164409,0.0,0.20510866035642356,0.7382410700288716
Banner 2021,0.14837991685995874,1.3123422359343184,0.0,0.41537871427426587,0.8915869451365991
Little Cottonwood 2021,-0.01351895012042171,1.6161821869044666,0.0,0.5397881461260303,1.065947341300313
Mores 2021,0.07286864820807773,1.422935573892074,0.0,0.39756464003682557,0.9145271045588742
Banner 2020,0.2784728912169407,1.3927422768690625,0.0,0.40022758224160293,0.9950183007831572
Fraser 2020,0.24576189684258953,1.0843136514201757,1.71007208393803e-10,0.38149097946780053,0.9250319335954182
Cameron 2021,0.03302733330123601,1.178423053332887,0.6973549002750126,0.015191728832118374,1.0666044459623203
All Sites,0.23549990682877203,1.2958829542612256,0.0,0.4589385524845403,0.9214371892102124
