,RMSE,Pearson R,RMSE @ 500m,Pearson R @ 500m,RMSE @ 1km,Pearson R @ 1km
All Sites,0.98,0.38,0.69,0.59,0.65,0.64
Mores 2020-02-09,1.11,0.08,0.83,0.35,0.86,0.25
Frasier 2021-03-19,0.71,0.16,0.57,0.27,0.55,0.30
Dry Creek 2020-02-19,0.79,0.17,0.59,0.29,0.57,0.27
Banner 2021-03-15,0.94,0.33,0.53,0.55,0.44,0.62
Little Cottonwood 2021-03-18,1.28,0.32,0.73,0.57,0.63,0.64
Mores 2021-03-15,0.96,0.33,0.64,0.58,0.64,0.67
Banner 2020-02-18,1.04,0.31,0.79,0.60,0.76,0.65
Frasier 2020-02-11,0.97,0.26,0.83,0.48,0.79,0.63
Cameron 2021-03-19,1.16,0.07,0.93,0.17,0.87,0.12
