,site,satellite,orbit,direction,time
0,Banner,S1B,20.0,ascending,2019-08-12
1,Banner,S1B,20.0,ascending,2019-08-24
2,Banner,S1B,20.0,ascending,2019-09-05
3,Banner,S1B,20.0,ascending,2019-09-17
4,Banner,S1B,20.0,ascending,2019-09-29
5,Banner,S1B,20.0,ascending,2019-10-11
6,Banner,S1B,20.0,ascending,2019-10-23
7,Banner,S1B,20.0,ascending,2019-11-04
8,Banner,S1B,20.0,ascending,2019-11-16
9,Banner,S1B,20.0,ascending,2019-11-28
10,Banner,S1B,20.0,ascending,2019-12-10
11,Banner,S1B,20.0,ascending,2019-12-22
12,Banner,S1B,20.0,ascending,2020-01-03
13,Banner,S1B,20.0,ascending,2020-01-15
14,Banner,S1B,20.0,ascending,2020-01-27
15,Banner,S1B,20.0,ascending,2020-02-08
16,Banner,S1B,20.0,ascending,2020-02-20
17,Banner,S1A,71.0,descending,2019-09-26
18,Banner,S1A,71.0,descending,2019-11-01
19,Banner,S1B,71.0,descending,2019-11-07
20,Banner,S1A,71.0,descending,2019-11-13
21,Banner,S1B,71.0,descending,2019-11-19
22,Banner,S1A,71.0,descending,2019-11-25
23,Banner,S1B,71.0,descending,2019-12-01
24,Banner,S1A,71.0,descending,2019-12-07
25,Banner,S1B,71.0,descending,2019-12-13
26,Banner,S1A,71.0,descending,2019-12-19
27,Banner,S1B,71.0,descending,2019-12-25
28,Banner,S1A,71.0,descending,2019-12-31
29,Banner,S1B,71.0,descending,2020-01-06
30,Banner,S1A,71.0,descending,2020-01-12
31,Banner,S1B,71.0,descending,2020-01-18
32,Banner,S1A,71.0,descending,2020-01-24
33,Banner,S1B,71.0,descending,2020-01-30
34,Banner,S1A,71.0,descending,2020-02-05
35,Banner,S1B,71.0,descending,2020-02-11
36,Banner,S1A,71.0,descending,2020-02-17
37,Banner,S1B,71.0,descending,2020-02-23
38,Banner,S1B,93.0,ascending,2019-08-05
39,Banner,S1B,93.0,ascending,2019-08-17
40,Banner,S1B,93.0,ascending,2019-08-29
41,Banner,S1B,93.0,ascending,2019-09-10
42,Banner,S1B,93.0,ascending,2019-09-22
43,Banner,S1A,93.0,ascending,2019-11-03
44,Banner,S1A,93.0,ascending,2019-11-15
45,Banner,S1A,93.0,ascending,2019-11-27
46,Banner,S1A,93.0,ascending,2019-12-09
47,Banner,S1A,93.0,ascending,2019-12-21
48,Banner,S1A,93.0,ascending,2020-01-02
49,Banner,S1A,93.0,ascending,2020-01-14
50,Banner,S1B,93.0,ascending,2020-01-20
51,Banner,S1A,93.0,ascending,2020-01-26
52,Banner,S1B,93.0,ascending,2020-02-01
53,Banner,S1A,93.0,ascending,2020-02-07
54,Banner,S1B,93.0,ascending,2020-02-13
55,Banner,S1A,93.0,ascending,2020-02-19
56,Banner,S1B,93.0,ascending,2020-02-25
57,Banner,S1A,93.0,ascending,2020-03-02
58,Banner,S1B,20.0,ascending,2020-08-06
59,Banner,S1B,20.0,ascending,2020-08-18
60,Banner,S1B,20.0,ascending,2020-08-30
61,Banner,S1B,20.0,ascending,2020-09-11
62,Banner,S1B,20.0,ascending,2020-09-23
63,Banner,S1B,20.0,ascending,2020-10-05
64,Banner,S1B,20.0,ascending,2020-10-17
65,Banner,S1B,20.0,ascending,2020-10-29
66,Banner,S1B,20.0,ascending,2020-11-10
67,Banner,S1B,20.0,ascending,2020-11-22
68,Banner,S1B,20.0,ascending,2020-12-04
69,Banner,S1B,20.0,ascending,2020-12-16
70,Banner,S1B,20.0,ascending,2020-12-28
71,Banner,S1B,20.0,ascending,2021-01-09
72,Banner,S1B,20.0,ascending,2021-01-21
73,Banner,S1B,20.0,ascending,2021-02-02
74,Banner,S1B,20.0,ascending,2021-02-14
75,Banner,S1B,20.0,ascending,2021-02-26
76,Banner,S1B,20.0,ascending,2021-03-10
77,Banner,S1B,20.0,ascending,2021-03-22
78,Banner,S1A,71.0,descending,2020-08-03
79,Banner,S1B,71.0,descending,2020-08-09
80,Banner,S1A,71.0,descending,2020-08-15
81,Banner,S1B,71.0,descending,2020-08-21
82,Banner,S1A,71.0,descending,2020-08-27
83,Banner,S1B,71.0,descending,2020-09-02
84,Banner,S1A,71.0,descending,2020-09-08
85,Banner,S1B,71.0,descending,2020-09-14
86,Banner,S1A,71.0,descending,2020-09-20
87,Banner,S1B,71.0,descending,2020-09-26
88,Banner,S1A,71.0,descending,2020-10-02
89,Banner,S1B,71.0,descending,2020-10-08
90,Banner,S1A,71.0,descending,2020-10-14
91,Banner,S1B,71.0,descending,2020-10-20
92,Banner,S1A,71.0,descending,2020-10-26
93,Banner,S1B,71.0,descending,2020-11-01
94,Banner,S1A,71.0,descending,2020-11-07
95,Banner,S1B,71.0,descending,2020-11-13
96,Banner,S1A,71.0,descending,2020-11-19
97,Banner,S1B,71.0,descending,2020-11-25
98,Banner,S1A,71.0,descending,2020-12-01
99,Banner,S1B,71.0,descending,2020-12-07
100,Banner,S1A,71.0,descending,2020-12-13
101,Banner,S1B,71.0,descending,2020-12-19
102,Banner,S1A,71.0,descending,2020-12-25
103,Banner,S1B,71.0,descending,2020-12-31
104,Banner,S1A,71.0,descending,2021-01-06
105,Banner,S1B,71.0,descending,2021-01-12
106,Banner,S1A,71.0,descending,2021-01-18
107,Banner,S1B,71.0,descending,2021-01-24
108,Banner,S1A,71.0,descending,2021-01-30
109,Banner,S1A,71.0,descending,2021-02-11
110,Banner,S1B,71.0,descending,2021-02-17
111,Banner,S1A,71.0,descending,2021-02-23
112,Banner,S1B,71.0,descending,2021-03-01
113,Banner,S1A,71.0,descending,2021-03-07
114,Banner,S1B,71.0,descending,2021-03-13
115,Banner,S1A,71.0,descending,2021-03-19
116,Banner,S1B,71.0,descending,2021-03-25
117,Banner,S1A,93.0,ascending,2020-08-05
118,Banner,S1B,93.0,ascending,2020-08-11
119,Banner,S1A,93.0,ascending,2020-08-17
120,Banner,S1B,93.0,ascending,2020-08-23
121,Banner,S1A,93.0,ascending,2020-08-29
122,Banner,S1B,93.0,ascending,2020-09-04
123,Banner,S1A,93.0,ascending,2020-09-10
124,Banner,S1B,93.0,ascending,2020-09-16
125,Banner,S1A,93.0,ascending,2020-09-22
126,Banner,S1B,93.0,ascending,2020-09-28
127,Banner,S1A,93.0,ascending,2020-10-04
128,Banner,S1B,93.0,ascending,2020-10-10
129,Banner,S1A,93.0,ascending,2020-10-16
130,Banner,S1B,93.0,ascending,2020-10-22
131,Banner,S1A,93.0,ascending,2020-10-28
132,Banner,S1B,93.0,ascending,2020-11-03
133,Banner,S1A,93.0,ascending,2020-11-09
134,Banner,S1B,93.0,ascending,2020-11-15
135,Banner,S1A,93.0,ascending,2020-11-21
136,Banner,S1B,93.0,ascending,2020-11-27
137,Banner,S1A,93.0,ascending,2020-12-03
138,Banner,S1B,93.0,ascending,2020-12-09
139,Banner,S1A,93.0,ascending,2020-12-15
140,Banner,S1B,93.0,ascending,2020-12-21
141,Banner,S1B,93.0,ascending,2021-01-02
142,Banner,S1A,93.0,ascending,2021-01-08
143,Banner,S1B,93.0,ascending,2021-01-14
144,Banner,S1B,93.0,ascending,2021-01-26
145,Banner,S1A,93.0,ascending,2021-02-01
146,Banner,S1B,93.0,ascending,2021-02-07
147,Banner,S1A,93.0,ascending,2021-02-13
148,Banner,S1B,93.0,ascending,2021-02-19
149,Banner,S1A,93.0,ascending,2021-02-25
150,Banner,S1B,93.0,ascending,2021-03-03
151,Banner,S1A,93.0,ascending,2021-03-09
152,Banner,S1B,93.0,ascending,2021-03-15
153,Banner,S1A,93.0,ascending,2021-03-21
154,Banner,S1B,93.0,ascending,2021-03-27
155,Cameron,S1A,56.0,descending,2020-08-02
156,Cameron,S1A,56.0,descending,2020-08-14
157,Cameron,S1A,56.0,descending,2020-08-26
158,Cameron,S1A,56.0,descending,2020-09-07
159,Cameron,S1A,56.0,descending,2020-09-19
160,Cameron,S1A,56.0,descending,2020-10-01
161,Cameron,S1A,56.0,descending,2020-10-13
162,Cameron,S1A,56.0,descending,2020-10-25
163,Cameron,S1A,56.0,descending,2020-11-06
164,Cameron,S1A,56.0,descending,2020-11-18
165,Cameron,S1A,56.0,descending,2020-11-30
166,Cameron,S1A,56.0,descending,2020-12-12
167,Cameron,S1A,56.0,descending,2020-12-24
168,Cameron,S1A,56.0,descending,2021-01-05
169,Cameron,S1A,56.0,descending,2021-01-17
170,Cameron,S1A,56.0,descending,2021-01-29
171,Cameron,S1A,56.0,descending,2021-02-10
172,Cameron,S1A,56.0,descending,2021-02-22
173,Cameron,S1A,56.0,descending,2021-03-06
174,Cameron,S1A,56.0,descending,2021-03-18
175,Cameron,S1A,56.0,descending,2021-03-30
176,Cameron,S1B,78.0,ascending,2020-08-10
177,Cameron,S1B,78.0,ascending,2020-08-22
178,Cameron,S1B,78.0,ascending,2020-09-03
179,Cameron,S1B,78.0,ascending,2020-09-15
180,Cameron,S1B,78.0,ascending,2020-09-27
181,Cameron,S1B,78.0,ascending,2020-10-09
182,Cameron,S1B,78.0,ascending,2020-10-21
183,Cameron,S1B,78.0,ascending,2020-11-14
184,Cameron,S1B,78.0,ascending,2020-11-26
185,Cameron,S1B,78.0,ascending,2020-12-08
186,Cameron,S1B,78.0,ascending,2021-01-01
187,Cameron,S1B,78.0,ascending,2021-01-13
188,Cameron,S1B,78.0,ascending,2021-01-25
189,Cameron,S1B,78.0,ascending,2021-02-06
190,Cameron,S1B,78.0,ascending,2021-02-18
191,Cameron,S1B,78.0,ascending,2021-03-02
192,Cameron,S1B,78.0,ascending,2021-03-26
193,Cameron,S1B,151.0,ascending,2020-08-03
194,Cameron,S1B,151.0,ascending,2020-08-15
195,Cameron,S1B,151.0,ascending,2020-08-27
196,Cameron,S1B,151.0,ascending,2020-09-08
197,Cameron,S1B,151.0,ascending,2020-09-20
198,Cameron,S1B,151.0,ascending,2020-10-02
199,Cameron,S1B,151.0,ascending,2020-10-14
200,Cameron,S1B,151.0,ascending,2020-10-26
201,Cameron,S1B,151.0,ascending,2020-11-07
202,Cameron,S1B,151.0,ascending,2020-11-19
203,Cameron,S1B,151.0,ascending,2020-12-01
204,Cameron,S1B,151.0,ascending,2020-12-13
205,Cameron,S1B,151.0,ascending,2020-12-25
206,Cameron,S1B,151.0,ascending,2021-01-06
207,Cameron,S1B,151.0,ascending,2021-01-18
208,Cameron,S1B,151.0,ascending,2021-01-30
209,Cameron,S1B,151.0,ascending,2021-02-11
210,Cameron,S1B,151.0,ascending,2021-02-23
211,Cameron,S1B,151.0,ascending,2021-03-07
212,Cameron,S1B,151.0,ascending,2021-03-19
213,Cameron,S1B,151.0,ascending,2021-03-31
214,Dry,S1A,71.0,descending,2019-08-09
215,Dry,S1A,71.0,descending,2019-08-21
216,Dry,S1A,71.0,descending,2019-09-02
217,Dry,S1A,71.0,descending,2019-09-14
218,Dry,S1A,71.0,descending,2019-09-26
219,Dry,S1A,71.0,descending,2019-10-08
220,Dry,S1A,71.0,descending,2019-10-20
221,Dry,S1A,71.0,descending,2019-11-01
222,Dry,S1B,71.0,descending,2019-11-07
223,Dry,S1A,71.0,descending,2019-11-13
224,Dry,S1B,71.0,descending,2019-11-19
225,Dry,S1A,71.0,descending,2019-11-25
226,Dry,S1B,71.0,descending,2019-12-01
227,Dry,S1A,71.0,descending,2019-12-07
228,Dry,S1B,71.0,descending,2019-12-13
229,Dry,S1A,71.0,descending,2019-12-19
230,Dry,S1B,71.0,descending,2019-12-25
231,Dry,S1A,71.0,descending,2019-12-31
232,Dry,S1B,71.0,descending,2020-01-06
233,Dry,S1A,71.0,descending,2020-01-12
234,Dry,S1B,71.0,descending,2020-01-18
235,Dry,S1A,71.0,descending,2020-01-24
236,Dry,S1B,71.0,descending,2020-01-30
237,Dry,S1A,71.0,descending,2020-02-05
238,Dry,S1B,71.0,descending,2020-02-11
239,Dry,S1A,71.0,descending,2020-02-17
240,Dry,S1B,71.0,descending,2020-02-23
241,Dry,S1B,93.0,ascending,2019-08-05
242,Dry,S1B,93.0,ascending,2019-08-17
243,Dry,S1B,93.0,ascending,2019-08-29
244,Dry,S1B,93.0,ascending,2019-09-10
245,Dry,S1B,93.0,ascending,2019-09-22
246,Dry,S1A,93.0,ascending,2019-11-03
247,Dry,S1A,93.0,ascending,2019-11-15
248,Dry,S1A,93.0,ascending,2019-11-27
249,Dry,S1A,93.0,ascending,2019-12-09
250,Dry,S1A,93.0,ascending,2019-12-21
251,Dry,S1A,93.0,ascending,2020-01-02
252,Dry,S1A,93.0,ascending,2020-01-14
253,Dry,S1B,93.0,ascending,2020-01-20
254,Dry,S1A,93.0,ascending,2020-01-26
255,Dry,S1B,93.0,ascending,2020-02-01
256,Dry,S1A,93.0,ascending,2020-02-07
257,Dry,S1B,93.0,ascending,2020-02-13
258,Dry,S1A,93.0,ascending,2020-02-19
259,Dry,S1B,93.0,ascending,2020-02-25
260,Dry,S1A,93.0,ascending,2020-03-02
261,Dry,S1A,144.0,descending,2019-08-02
262,Dry,S1A,144.0,descending,2019-08-14
263,Dry,S1A,144.0,descending,2019-08-26
264,Dry,S1A,144.0,descending,2019-09-07
265,Dry,S1A,144.0,descending,2019-09-19
266,Dry,S1A,144.0,descending,2019-10-01
267,Dry,S1A,144.0,descending,2019-10-13
268,Dry,S1A,144.0,descending,2019-10-25
269,Dry,S1A,144.0,descending,2019-11-06
270,Dry,S1A,144.0,descending,2019-11-18
271,Dry,S1A,144.0,descending,2019-11-30
272,Dry,S1A,144.0,descending,2019-12-12
273,Dry,S1A,144.0,descending,2019-12-24
274,Dry,S1A,144.0,descending,2020-01-05
275,Dry,S1A,144.0,descending,2020-01-17
276,Dry,S1A,144.0,descending,2020-01-29
277,Dry,S1A,144.0,descending,2020-02-10
278,Dry,S1A,144.0,descending,2020-02-22
279,Dry,S1B,166.0,ascending,2019-08-10
280,Dry,S1B,166.0,ascending,2019-08-22
281,Dry,S1B,166.0,ascending,2019-09-03
282,Dry,S1B,166.0,ascending,2019-09-15
283,Dry,S1B,166.0,ascending,2019-09-27
284,Dry,S1B,166.0,ascending,2019-10-09
285,Dry,S1B,166.0,ascending,2019-10-21
286,Dry,S1B,166.0,ascending,2019-11-02
287,Dry,S1B,166.0,ascending,2019-11-14
288,Dry,S1B,166.0,ascending,2019-11-26
289,Dry,S1B,166.0,ascending,2019-12-08
290,Dry,S1B,166.0,ascending,2019-12-20
291,Dry,S1B,166.0,ascending,2020-01-01
292,Dry,S1B,166.0,ascending,2020-01-13
293,Dry,S1B,166.0,ascending,2020-01-25
294,Dry,S1B,166.0,ascending,2020-02-06
295,Dry,S1B,166.0,ascending,2020-02-18
296,Dry,S1B,166.0,ascending,2020-03-01
297,Frasier,S1A,56.0,descending,2019-08-08
298,Frasier,S1A,56.0,descending,2019-08-20
299,Frasier,S1A,56.0,descending,2019-09-01
300,Frasier,S1A,56.0,descending,2019-09-13
301,Frasier,S1A,56.0,descending,2019-09-25
302,Frasier,S1A,56.0,descending,2019-10-07
303,Frasier,S1A,56.0,descending,2019-10-19
304,Frasier,S1A,56.0,descending,2019-10-31
305,Frasier,S1A,56.0,descending,2019-11-12
306,Frasier,S1A,56.0,descending,2019-11-24
307,Frasier,S1A,56.0,descending,2019-12-06
308,Frasier,S1A,56.0,descending,2019-12-18
309,Frasier,S1A,56.0,descending,2019-12-30
310,Frasier,S1A,56.0,descending,2020-01-11
311,Frasier,S1A,56.0,descending,2020-01-23
312,Frasier,S1A,56.0,descending,2020-02-04
313,Frasier,S1A,56.0,descending,2020-02-16
314,Frasier,S1B,78.0,ascending,2019-08-04
315,Frasier,S1B,78.0,ascending,2019-08-16
316,Frasier,S1B,78.0,ascending,2019-08-28
317,Frasier,S1B,78.0,ascending,2019-09-09
318,Frasier,S1B,78.0,ascending,2019-09-21
319,Frasier,S1B,78.0,ascending,2019-10-03
320,Frasier,S1B,78.0,ascending,2019-10-15
321,Frasier,S1B,78.0,ascending,2019-10-27
322,Frasier,S1B,78.0,ascending,2019-11-08
323,Frasier,S1B,78.0,ascending,2019-11-20
324,Frasier,S1B,78.0,ascending,2019-12-02
325,Frasier,S1B,78.0,ascending,2019-12-14
326,Frasier,S1B,78.0,ascending,2019-12-26
327,Frasier,S1B,78.0,ascending,2020-01-07
328,Frasier,S1B,78.0,ascending,2020-01-19
329,Frasier,S1B,78.0,ascending,2020-01-31
330,Frasier,S1B,78.0,ascending,2020-02-12
331,Frasier,S1B,78.0,ascending,2020-02-24
332,Frasier,S1B,151.0,ascending,2019-08-09
333,Frasier,S1B,151.0,ascending,2019-08-21
334,Frasier,S1B,151.0,ascending,2019-09-02
335,Frasier,S1B,151.0,ascending,2019-09-14
336,Frasier,S1B,151.0,ascending,2019-09-26
337,Frasier,S1B,151.0,ascending,2019-10-08
338,Frasier,S1B,151.0,ascending,2019-10-20
339,Frasier,S1B,151.0,ascending,2019-11-01
340,Frasier,S1B,151.0,ascending,2019-11-13
341,Frasier,S1B,151.0,ascending,2019-11-25
342,Frasier,S1B,151.0,ascending,2019-12-07
343,Frasier,S1B,151.0,ascending,2019-12-19
344,Frasier,S1B,151.0,ascending,2019-12-31
345,Frasier,S1B,151.0,ascending,2020-01-12
346,Frasier,S1B,151.0,ascending,2020-01-24
347,Frasier,S1A,56.0,descending,2020-08-02
348,Frasier,S1A,56.0,descending,2020-08-14
349,Frasier,S1A,56.0,descending,2020-08-26
350,Frasier,S1A,56.0,descending,2020-09-07
351,Frasier,S1A,56.0,descending,2020-09-19
352,Frasier,S1A,56.0,descending,2020-10-01
353,Frasier,S1A,56.0,descending,2020-10-13
354,Frasier,S1A,56.0,descending,2020-10-25
355,Frasier,S1A,56.0,descending,2020-11-06
356,Frasier,S1A,56.0,descending,2020-11-18
357,Frasier,S1A,56.0,descending,2020-11-30
358,Frasier,S1A,56.0,descending,2020-12-12
359,Frasier,S1A,56.0,descending,2020-12-24
360,Frasier,S1A,56.0,descending,2021-01-05
361,Frasier,S1A,56.0,descending,2021-01-17
362,Frasier,S1A,56.0,descending,2021-01-29
363,Frasier,S1A,56.0,descending,2021-02-10
364,Frasier,S1A,56.0,descending,2021-02-22
365,Frasier,S1A,56.0,descending,2021-03-06
366,Frasier,S1A,56.0,descending,2021-03-18
367,Frasier,S1A,56.0,descending,2021-03-30
368,Frasier,S1B,78.0,ascending,2020-08-10
369,Frasier,S1B,78.0,ascending,2020-08-22
370,Frasier,S1B,78.0,ascending,2020-09-03
371,Frasier,S1B,78.0,ascending,2020-09-15
372,Frasier,S1B,78.0,ascending,2020-09-27
373,Frasier,S1B,78.0,ascending,2020-10-09
374,Frasier,S1B,78.0,ascending,2020-10-21
375,Frasier,S1B,78.0,ascending,2020-11-14
376,Frasier,S1B,78.0,ascending,2020-11-26
377,Frasier,S1B,78.0,ascending,2020-12-08
378,Frasier,S1B,78.0,ascending,2021-01-01
379,Frasier,S1B,78.0,ascending,2021-01-13
380,Frasier,S1B,78.0,ascending,2021-01-25
381,Frasier,S1B,78.0,ascending,2021-02-06
382,Frasier,S1B,78.0,ascending,2021-02-18
383,Frasier,S1B,78.0,ascending,2021-03-02
384,Frasier,S1B,78.0,ascending,2021-03-26
385,Frasier,S1B,151.0,ascending,2020-08-03
386,Frasier,S1B,151.0,ascending,2020-08-15
387,Frasier,S1B,151.0,ascending,2020-08-27
388,Frasier,S1B,151.0,ascending,2020-09-08
389,Frasier,S1B,151.0,ascending,2020-09-20
390,Frasier,S1B,151.0,ascending,2020-10-02
391,Frasier,S1B,151.0,ascending,2020-10-14
392,Frasier,S1B,151.0,ascending,2020-10-26
393,Frasier,S1B,151.0,ascending,2020-11-07
394,Frasier,S1B,151.0,ascending,2020-11-19
395,Frasier,S1B,151.0,ascending,2020-12-01
396,Frasier,S1B,151.0,ascending,2020-12-13
397,Frasier,S1B,151.0,ascending,2020-12-25
398,Frasier,S1B,151.0,ascending,2021-01-06
399,Frasier,S1B,151.0,ascending,2021-01-18
400,Frasier,S1B,151.0,ascending,2021-01-30
401,Frasier,S1B,151.0,ascending,2021-02-11
402,Frasier,S1B,151.0,ascending,2021-02-23
403,Frasier,S1B,151.0,ascending,2021-03-07
404,Frasier,S1B,151.0,ascending,2021-03-19
405,Frasier,S1B,151.0,ascending,2021-03-31
406,Little,S1B,20.0,ascending,2020-08-06
407,Little,S1B,20.0,ascending,2020-08-18
408,Little,S1B,20.0,ascending,2020-08-30
409,Little,S1B,20.0,ascending,2020-09-11
410,Little,S1B,20.0,ascending,2020-09-23
411,Little,S1B,20.0,ascending,2020-10-05
412,Little,S1B,20.0,ascending,2020-10-17
413,Little,S1B,20.0,ascending,2020-10-29
414,Little,S1B,20.0,ascending,2020-11-10
415,Little,S1B,20.0,ascending,2020-11-22
416,Little,S1B,20.0,ascending,2020-12-04
417,Little,S1B,20.0,ascending,2020-12-16
418,Little,S1B,20.0,ascending,2020-12-28
419,Little,S1B,20.0,ascending,2021-01-09
420,Little,S1B,20.0,ascending,2021-01-21
421,Little,S1B,20.0,ascending,2021-02-02
422,Little,S1B,20.0,ascending,2021-02-14
423,Little,S1B,20.0,ascending,2021-02-26
424,Little,S1B,20.0,ascending,2021-03-10
425,Little,S1B,20.0,ascending,2021-03-22
426,Little,S1A,27.0,descending,2020-08-12
427,Little,S1A,27.0,descending,2020-08-24
428,Little,S1A,27.0,descending,2020-09-05
429,Little,S1A,27.0,descending,2020-09-17
430,Little,S1A,27.0,descending,2020-09-29
431,Little,S1A,27.0,descending,2020-10-11
432,Little,S1A,27.0,descending,2020-10-23
433,Little,S1A,27.0,descending,2020-11-04
434,Little,S1A,27.0,descending,2020-11-16
435,Little,S1A,27.0,descending,2020-11-28
436,Little,S1A,27.0,descending,2020-12-10
437,Little,S1A,27.0,descending,2020-12-22
438,Little,S1A,27.0,descending,2021-01-03
439,Little,S1A,27.0,descending,2021-01-15
440,Little,S1A,27.0,descending,2021-01-27
441,Little,S1A,27.0,descending,2021-02-08
442,Little,S1A,27.0,descending,2021-02-20
443,Little,S1A,27.0,descending,2021-03-04
444,Little,S1A,27.0,descending,2021-03-16
445,Little,S1A,27.0,descending,2021-03-28
446,Little,S1A,100.0,descending,2020-08-05
447,Little,S1A,100.0,descending,2020-08-17
448,Little,S1A,100.0,descending,2020-08-29
449,Little,S1A,100.0,descending,2020-09-10
450,Little,S1A,100.0,descending,2020-09-22
451,Little,S1A,100.0,descending,2020-10-04
452,Little,S1A,100.0,descending,2020-10-16
453,Little,S1A,100.0,descending,2020-10-28
454,Little,S1A,100.0,descending,2020-11-09
455,Little,S1A,100.0,descending,2020-11-21
456,Little,S1A,100.0,descending,2020-12-03
457,Little,S1A,100.0,descending,2020-12-15
458,Little,S1A,100.0,descending,2020-12-27
459,Little,S1A,100.0,descending,2021-01-08
460,Little,S1A,100.0,descending,2021-01-20
461,Little,S1A,100.0,descending,2021-02-01
462,Little,S1A,100.0,descending,2021-02-13
463,Little,S1A,100.0,descending,2021-02-25
464,Little,S1A,100.0,descending,2021-03-09
465,Little,S1A,100.0,descending,2021-03-21
466,Little,S1B,122.0,ascending,2020-08-01
467,Little,S1B,122.0,ascending,2020-08-13
468,Little,S1B,122.0,ascending,2020-08-25
469,Little,S1B,122.0,ascending,2020-09-06
470,Little,S1B,122.0,ascending,2020-09-18
471,Little,S1B,122.0,ascending,2020-09-30
472,Little,S1B,122.0,ascending,2020-10-12
473,Little,S1B,122.0,ascending,2020-10-24
474,Little,S1B,122.0,ascending,2020-11-05
475,Little,S1B,122.0,ascending,2020-11-17
476,Little,S1B,122.0,ascending,2020-11-29
477,Little,S1B,122.0,ascending,2020-12-11
478,Little,S1B,122.0,ascending,2020-12-23
479,Little,S1B,122.0,ascending,2021-01-16
480,Little,S1B,122.0,ascending,2021-01-28
481,Little,S1B,122.0,ascending,2021-02-09
482,Little,S1B,122.0,ascending,2021-02-21
483,Little,S1B,122.0,ascending,2021-03-05
484,Little,S1B,122.0,ascending,2021-03-17
485,Little,S1B,122.0,ascending,2021-03-29
486,Mores,S1A,71.0,descending,2019-08-09
487,Mores,S1A,71.0,descending,2019-08-21
